Agency (Dept or Stat Body),Agency address,Contract description/name,Award contract date,Contract value,Currency,Supplier name,Supplier address,Variation to contract (Yes/No),Specific confidentiality provision used,Procurement method,Justification,Form of contract,Number of offers sought,Evaluation criteria and weightings,Deliverables,Contract milestones,Contract performance management,Contract reference number,Contract category group,Parent contract number/SOA,Commence date,Supplier ABN,Finish date
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",PROFESSIONAL SERVICE,24/11/2022,"27,500.00",AUD,Asset Institute Limited,GPO Box 2434 Brisbane QLD 4001,NO,NO,,,,,,,,,4502601059,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",PROFESSIONAL SERVICE,25/11/2022,"27,500.00",AUD,Conrad Gargett Group Pty Ltd,"240 Level 26, Queen Street Brisbane QLD 4000",NO,NO,,,,,,,,,4502601262,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",RAILWAY EQUIPMENT,11/10/2022,"27,465.37",AUD,Classic Coachworks Pty Ltd,14A Hearne Street Mortdale NSW 2223,NO,NO,,,,,,,,,4502596886,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",RAILWAY EQUIPMENT,11/09/2022,"27,440.56",AUD,Classic Coachworks Pty Ltd,14A Hearne Street Mortdale NSW 2223,NO,NO,,,,,,,,,4502596675,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",RAILWAY EQUIPMENT,11/10/2022,"27,353.70",AUD,Classic Coachworks Pty Ltd,14A Hearne Street Mortdale NSW 2223,NO,NO,,,,,,,,,4502596887,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",CIVIL WORKS CONTRACT,22/11/2022,"27,069.90",AUD,Dynaciv Pty Ltd,193 South Pine Road Brendale QLD 4500,NO,NO,,,,,,,,,4502600250,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",MISC SERVICES,11/01/2022,"27,066.61",AUD,Yannick Blattner,32 Norman Street East Brisbane QLD 4169,NO,NO,,,,,,,,,4502595393,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",QITC - 2022 NEARMAP SUBSCRIPTION - NETWORK CORRIDOR MAINTENANCE,10/11/2021,"27,000.00",AUD,Nearmap Australia Pty Ltd,100 Barangaoo Sydney NSW 2000,NO,NO,,,,,,,,,CW2305040,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",LABOUR CONTRACTORS,11/09/2022,"26,416.50",AUD,The Traffic Design Company Pty Ltd,PO Box 265 Caboolture QLD 4510,NO,NO,,,,,,,,,4502596770,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",LABOUR CONTRACTORS,11/02/2022,"26,187.66",AUD,Track Protection Services Pty Ltd,PO Box 421 Mapleton QLD 4560,NO,NO,,,,,,,,,4502595562,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",PROFESSIONAL SERVICE,11/03/2022,"26,159.93",AUD,Warp QLD Pty Ltd,1/23 Darnick Street Underwood QLD 4119,NO,NO,,,,,,,,,4502595853,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",CIVIL WORKS CONTRACT,29/11/2022,"26,129.40",AUD,Dynaciv Pty Ltd,193 South Pine Road Brendale QLD 4500,NO,NO,,,,,,,,,4502601658,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",RAILWAY EQUIPMENT,11/08/2022,"25,916.00",AUD,Gold Creek Engineers Australia,10 Keryn Pl Keperra QLD 4054,NO,NO,,,,,,,,,4502596499,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",BLDG WORKS CONTRACT,11/08/2022,"25,872.00",AUD,Oz. E. Cool,PO Box 333 Cloncurry QLD 4824,NO,NO,,,,,,,,,4502596487,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",LABOUR CONTRACTORS,22/11/2022,"25,767.78",AUD,The Traffic Design Company Pty Ltd,PO Box 265 Caboolture QLD 4510,NO,NO,,,,,,,,,4502600226,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",TIMBR PLYWOOD VENEER,29/11/2022,"25,735.60",AUD,Rankine Timber & Truss,80 Magazine Street Stratford QLD 4870,NO,NO,,,,,,,,,4502602380,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",CONSTR BLDING MATLS,14/11/2022,"25,734.59",AUD,Moddex,PO Box 404 Maryborough QLD 4650,NO,NO,,,,,,,,,4502597397,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",PIPE TUBE HOSE & FIT,11/09/2022,"25,584.60",AUD,Enzed Rockhampton,PO Box 8111 Rockhampton QLD 4700,NO,NO,,,,,,,,,4502596814,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",INSURANCE SPARE,21/11/2022,"25,175.70",AUD,G James Safety Glass (QLD) Pty Ltd,PO Box 1376 Eagle Farm QLD 4009,NO,NO,,,,,,,,,4502600193,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",CIVIL WORKS CONTRACT,23/11/2022,"25,058.00",AUD,Dynaciv Pty Ltd,193 South Pine Road Brendale QLD 4500,NO,NO,,,,,,,,,4502600675,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",PROFESSIONAL SERVICE,24/11/2022,"24,948.00",AUD,As Rail Pty Ltd,76 Massie Street Brighton QLD 4017,NO,NO,,,,,,,,,4502600968,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",COMMUN EQUIPMENT,17/11/2022,"24,838.00",AUD,GM Poles Pty Ltd,PO Box 202 Carole Park QLD 4300,NO,NO,,,,,,,,,4502597947,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",HARDWARE CONSUMABLES,24/11/2022,"24,830.00",AUD,ANZ Civil Products,11 Bayswater Court Sandstone Point QLD 4511,NO,NO,,,,,,,,,4502600903,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",REFRIG & A/C EQUIP,23/11/2022,"24,822.60",AUD,Wormald Australia Pty Ltd,350 Parramatta Road Hom Ebush West NSW 2140,NO,NO,,,,,,,,,4502600791,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",CLOTHING & UNIFORMS,22/11/2022,"24,722.24",AUD,The Workwear Group Pty Ltd,848 Gympie Road Chermside QLD 4032,NO,NO,,,,,,,,,4050462333,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",PROFESSIONAL SERVICE,21/11/2022,"24,684.00",AUD,PricewaterhouseCoopers,GPO Box 150 Brisbane QLD 4001,NO,NO,,,,,,,,,4502600150,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",CIVIL WORKS CONTRACT,23/11/2022,"24,321.00",AUD,Equipped Civil & Earthmoving,68-104 Althaus Road Westbrook QLD 4350,NO,NO,,,,,,,,,4502600743,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",TRAINING SERVICES,11/04/2022,"24,294.60",AUD,Prescribe Prevent Injury,126 Church Street Woolongong QLD 2500,NO,NO,,,,,,,,,4502596137,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",CIVIL WORKS CONTRACT,11/03/2022,"24,002.00",AUD,Equipped Civil & Earthmoving,68-104 Althaus Road Westbrook QLD 4350,NO,NO,,,,,,,,,4502595978,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000","METAL BARS,SHT/SHAPE",18/11/2022,"23,787.98",AUD,Direct Steel Supplies,PO Box 425 Ipswich QLD 4305,NO,NO,,,,,,,,,4502598277,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",PROFESSIONAL SERVICE,21/11/2022,"23,760.00",AUD,Dellacorda Specialist Services Pty,42 Douglas Street Milton QLD 4064,NO,NO,,,,,,,,,4502600088,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",PROFESSIONAL SERVICE,11/11/2022,"23,738.00",AUD,Customised Traffic Management,PO Box 256 Rocklea QLD 4106,NO,NO,,,,,,,,,4502597174,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",CONSTR BLDING MATLS,11/11/2022,"23,665.40",AUD,Geofabrics Australasia Pty Ltd,PO Box 684 Sumner Park QLD 4074,NO,NO,,,,,,,,,4502597151,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",CIVIL WORKS CONTRACT,17/11/2022,"23,650.00",AUD,Rail & Civil Group,81 Sherwood Road Rocklea QLD 4106,NO,NO,,,,,,,,,4502597991,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",HARDWARE CONSUMABLES,11/02/2022,"23,557.60",AUD,Safety Step Australia Pty Ltd,110 Chelmsford Road Rock Valley QLD 2480,NO,NO,,,,,,,,,4502595514,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",PROFESSIONAL SERVICE,11/02/2022,"23,430.00",AUD,The University of Queensland,J D Story Building St Lucia QLD 4072,NO,NO,,,,,,,,,4502595650,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",TIMBR PLYWOOD VENEER,11/02/2022,"23,383.28",AUD,Sunstate Timbers,72 Lipscombe Road Deception Bay QLD 4508,NO,NO,,,,,,,,,4502595701,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000","METAL BARS,SHT/SHAPE",11/02/2022,"22,880.00",AUD,Webforge Locker,2 Cojo Place Dandenong South VIC 3175,NO,NO,,,,,,,,,4502595522,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",ELECTRICAL COMPNENTS,11/09/2022,"22,602.80",AUD,Berg Engineering Pty Ltd,PO Box 5136 Brendale QLD 4500,NO,NO,,,,,,,,,4502596728,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",ELECTRICAL COMPNENTS,11/10/2022,"22,602.80",AUD,Berg Engineering Pty Ltd,PO Box 5136 Brendale QLD 4500,NO,NO,,,,,,,,,4502596888,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",MISCELLANEOUS,16/11/2022,"22,459.14",AUD,Plasser Australia Pty Ltd   St Mary,2 Plasser Cresent St Marys NSW 2760,NO,NO,,,,,,,,,4502597741,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",SERV PLANT & EQUIP,29/11/2022,"22,355.48",AUD,Levanta,17 Canberra Street Hemmant QLD 4174,NO,NO,,,,,,,,,4502601635,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",MTNCE & REPAIR EQUIP,28/11/2022,"22,332.20",AUD,Roundel Civil Products Pty Ltd,9 Warman Street Neerabup WA 6031,NO,NO,,,,,,,,,4502601404,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",SERV PLANT & EQUIP,11/03/2022,"22,223.98",AUD,HMA Material Handling,PO Box 999 Brisbane Airport QLD 4007,NO,NO,,,,,,,,,4502595785,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",RAILWAY EQUIPMENT,11/01/2022,"22,220.00",AUD,Magnetic Automation Pty Ltd,8 Riverland Drive Loganholme QLD 4129,NO,NO,,,,,,,,,4502595413,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",CIVIL WORKS CONTRACT,21/11/2022,"22,078.10",AUD,Dynaciv Pty Ltd,193 South Pine Road Brendale QLD 4500,NO,NO,,,,,,,,,4502600181,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",VEGETATION MNGMENT,11/03/2022,"22,018.46",AUD,Tree Acq Pty Ltd,Po Box 165 Doonside NSW 2767,NO,NO,,,,,,,,,4502595856,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",PROFESSIONAL SERVICE,11/01/2022,"22,000.00",AUD,APRA AMCOS,16 Mountain Road Ultimo NSW 2007,NO,NO,,,,,,,,,4502595394,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",CIVIL WORKS CONTRACT,28/11/2022,"21,947.20",AUD,Dynaciv Pty Ltd,193 South Pine Road Brendale QLD 4500,NO,NO,,,,,,,,,4502601327,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",CONSTR BLDING MATLS,11/01/2022,"21,890.00",AUD,ANZ Civil Products,11 Bayswater Court Sandstone Point QLD 4511,NO,NO,,,,,,,,,4502595448,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",TRACTORS,21/09/2022,"21,890.00",AUD,ABB Australia Pty Ltd,1 Lavarack Avenue Eagle Farm QLD 4009,YES,NO,,,,,,,,,4502575979,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",HARDWARE CONSUMABLES,17/11/2022,"21,785.50",AUD,TGT Hardware Mareeba,PO Box 171 Mareeba QLD 4880,NO,NO,,,,,,,,,4502598088,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",HIRE-LEASE PLANT&EQP,14/11/2022,"21,780.00",AUD,MacTrans Heavy Haulage Pty Ltd,144 Coulson Street Wacol QLD 4076,NO,NO,,,,,,,,,4502597292,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",PROFESSIONAL SERVICE,11/04/2022,"21,649.17",AUD,Dean & Ling Executive,PO Box 1750 Brisbane QLD 4001,NO,NO,,,,,,,,,4502596071,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",RAILWAY EQUIPMENT,11/08/2022,"21,637.00",AUD,Gold Creek Engineers Australia,10 Keryn Pl Keperra QLD 4054,NO,NO,,,,,,,,,4502596477,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",CONSTR BLDING MATLS,11/01/2022,"21,505.00",AUD,ANZ Civil Products,11 Bayswater Court Sandstone Point QLD 4511,NO,NO,,,,,,,,,4502595452,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",HIRE-LEASE PLANT&EQP,11/08/2022,"21,263.00",AUD,Central Scaffolding & Rigging,11 Steel Place Morningside QLD 4170,NO,NO,,,,,,,,,4502596395,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",SERVICES - ELEC INV,22/11/2022,"21,120.00",AUD,Action Corrosion Pty Ltd,18 Industry Drive Tweed Heads South NSW 2486,NO,NO,,,,,,,,,4502600268,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",ELECTRICAL COMPNENTS,11/01/2022,"20,900.00",AUD,Galiyarr Technologies Pty Ltd,40 McNeill Road Kallangur QLD 4503,NO,NO,,,,,,,,,4502595336,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",SERV PLANT & EQUIP,11/04/2022,"20,790.23",AUD,Bundy Diesel Specialists,PO Box 3098 Bundaberg QLD 4670,NO,NO,,,,,,,,,4502596092,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",SERV PLANT & EQUIP,11/09/2022,"20,652.50",AUD,Smart Engineering (QLD) Pty Ltd,101 Randolph Street Rocklea QLD 4106,NO,NO,,,,,,,,,4502596712,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",SERV PLANT & EQUIP,22/11/2022,"20,652.50",AUD,Smart Engineering (QLD) Pty Ltd,101 Randolph Street Rocklea QLD 4106,NO,NO,,,,,,,,,4502600253,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",SERV PLANT & EQUIP,23/11/2022,"20,652.50",AUD,Smart Engineering (QLD) Pty Ltd,101 Randolph Street Rocklea QLD 4106,NO,NO,,,,,,,,,4502600689,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",MTNCE & REPAIR EQUIP,11/03/2022,"20,515.00",AUD,Higgins Coatings,52 Bishop Street Kelvin Grove QLD 4059,NO,NO,,,,,,,,,4502595929,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",SERVICES - ELEC INV,22/11/2022,"20,460.00",AUD,Action Corrosion Pty Ltd,18 Industry Drive Tweed Heads South NSW 2486,NO,NO,,,,,,,,,4502600469,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",LABOUR CONTRACTORS,29/11/2022,"19,994.57",AUD,The Traffic Design Company Pty Ltd,PO Box 265 Caboolture QLD 4510,NO,NO,,,,,,,,,4502601578,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",CONSTR BLDING MATLS,11/02/2022,"19,827.50",AUD,Moore Civil and Plant Hire Pty Ltd,PO Box 333 Longreach QLD 4730,NO,NO,,,,,,,,,4502595550,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",TRAINING SERVICES,22/11/2022,"19,800.00",AUD,SNC-Lavalin Rail & Transit Pty Limi,55 Clarence Street Sydney NSW 2000,NO,NO,,,,,,,,,4502600264,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",SERV PLANT & EQUIP,15/11/2022,"19,618.50",AUD,Smart Engineering (QLD) Pty Ltd,101 Randolph Street Rocklea QLD 4106,NO,NO,,,,,,,,,4502597493,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",PROFESSIONAL SERVICE,11/01/2022,"19,074.66",AUD,Bowen Storage Pty Ltd,11 Ramage Street Bayswater VIC 3153,NO,NO,,,,,,,,,4502595351,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",RAILWAY EQUIPMENT,15/11/2022,"18,773.73",AUD,Finlayson Timber & Hardware P/L,135 Wellington Road East Brisbane QLD 4169,NO,NO,,,,,,,,,4502597470,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",RAILWAY EQUIPMENT,11/09/2022,"18,714.32",AUD,Thermit Australia Pty Ltd,PO Box 76 Somersby NSW 2250,NO,NO,,,,,,,,,4502596676,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",CONSTR BLDING MATLS,21/11/2022,"18,653.80",AUD,ANZ Civil Products,11 Bayswater Court Sandstone Point QLD 4511,NO,NO,,,,,,,,,4502600130,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",PROFESSIONAL SERVICE,25/11/2022,"18,561.40",AUD,GBA Consulting Engineers,PO Box 169 Barcaldine QLD 4725,NO,NO,,,,,,,,,4502601196,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",LABOUR CONTRACTORS,11/04/2022,"18,520.70",AUD,The Rix Group Pty Ltd,25 Bourke Street Woolloongabba QLD 4102,NO,NO,,,,,,,,,4502596043,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",HIRE-LEASE PLANT&EQP,11/08/2022,"18,502.00",AUD,Central Scaffolding & Rigging,11 Steel Place Morningside QLD 4170,NO,NO,,,,,,,,,4502596419,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",LABOUR CONTRACTORS,21/11/2022,"18,497.16",AUD,A2O Traffic Solutions,PO Box 747 Deeragun QLD 4818,NO,NO,,,,,,,,,4502600207,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",CIVIL WORKS CONTRACT,24/11/2022,"18,493.20",AUD,Dynaciv Pty Ltd,193 South Pine Road Brendale QLD 4500,NO,NO,,,,,,,,,4502600888,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",LABOUR CONTRACTORS,14/11/2022,"18,428.57",AUD,ANZ Civil Products,11 Bayswater Court Sandstone Point QLD 4511,NO,NO,,,,,,,,,4502597258,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",TRAINING SERVICES,11/10/2022,"18,325.01",AUD,Sofitel Brisbane Central,249 Turbot Street Brisbane QLD 4000,NO,NO,,,,,,,,,4502597028,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",RAILWAY EQUIPMENT,22/11/2022,"18,293.00",AUD,BMT WBM Pty Ltd,200 Creek Street Spring Hill QLD 4000,NO,NO,,,,,,,,,4502600580,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",TC'S - 2022 FINANCIAL ACCOUNTING SOFTWARE,11/11/2020,"18,029.58",AUD,Thomson Reuters,100 Harris Street Pyrmont NSW 2009,NO,NO,,,,,,,,,CW2305086,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",ALARM SIGNAL SEC SYS,24/11/2022,"18,008.76",AUD,RF Industries Pty Ltd,PO Box 340 Banyo QLD 4014,NO,NO,,,,,,,,,4502600953,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",PRINTING SERVICES,25/11/2022,"17,855.20",AUD,The Buckner Group,71 Basalt Street Geebung QLD 4034,NO,NO,,,,,,,,,4050462527,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",LABOUR CONTRACTORS,22/11/2022,"17,768.08",AUD,East Coast Traffic Controllers Pty,144 Farm Street Kawana QLD 4701,NO,NO,,,,,,,,,4502600626,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",CIVIL WORKS CONTRACT,28/11/2022,"17,605.50",AUD,Dynaciv Pty Ltd,193 South Pine Road Brendale QLD 4500,NO,NO,,,,,,,,,4502601464,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",PROFESSIONAL SERVICE,17/11/2022,"17,569.99",AUD,Brisbane Wholesale Hardware Co Pty,83 Deshon Street Woolloongabba QLD 4102,NO,NO,,,,,,,,,4502598096,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",HARDWARE CONSUMABLES,17/11/2022,"17,398.48",AUD,TGT Hardware Mareeba,PO Box 171 Mareeba QLD 4880,NO,NO,,,,,,,,,4502598087,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",RAILWAY EQUIPMENT,22/11/2022,"17,295.94",AUD,Dix Manufacturing Group,20 Richard Street Maryborough QLD 4650,NO,NO,,,,,,,,,4502600600,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",CIVIL WORKS CONTRACT,24/11/2022,"17,248.00",AUD,Equipped Civil & Earthmoving,68-104 Althaus Road Westbrook QLD 4350,NO,NO,,,,,,,,,4502600918,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",TRACTORS,24/11/2022,"17,226.00",AUD,Comrail Pty Ltd,6 Arvida Street Malaga WA 6090,NO,NO,,,,,,,,,4502600895,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",TRACTORS,24/11/2022,"17,226.00",AUD,Comrail Pty Ltd,6 Arvida Street Malaga WA 6090,NO,NO,,,,,,,,,4502600900,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",TRACTORS,24/11/2022,"17,226.00",AUD,Comrail Pty Ltd,6 Arvida Street Malaga WA 6090,NO,NO,,,,,,,,,4502600902,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",TRACTORS,24/11/2022,"17,226.00",AUD,Comrail Pty Ltd,6 Arvida Street Malaga WA 6090,NO,NO,,,,,,,,,4502600916,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",LIGHT INDUSTRY MACH,11/02/2022,"17,196.96",AUD,White Industries,PO Box 350 Dalby QLD 4405,NO,NO,,,,,,,,,4502595554,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",LABOUR CONTRACTORS,11/09/2022,"17,183.10",AUD,The Traffic Design Company Pty Ltd,PO Box 265 Caboolture QLD 4510,NO,NO,,,,,,,,,4502596688,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",RAILWAY EQUIPMENT,11/02/2022,"17,160.00",AUD,Cold Forged Products,19 Resolution Drive Caringbah NSW 2229,NO,NO,,,,,,,,,4502595512,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",RAILWAY EQUIPMENT,28/10/2022,"17,054.40",AUD,Voith Turbo Pty Ltd,23-47 Percival Road Smithfield NSW 2164,YES,NO,,,,,,,,,4502588862,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",VEGETATION MNGMENT,16/11/2022,"17,039.00",AUD,Kellogg Brown & Root Pty Ltd,199 Grey Street South Brisbane QLD 4101,NO,NO,,,,,,,,,4502597660,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",PROFESSIONAL SERVICE,11/03/2022,"16,890.04",AUD,Acquired Awareness Traffic,PO Box 5757 Brendale QLD 4500,NO,NO,,,,,,,,,4502595888,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",RAILWAY EQUIPMENT,24/11/2022,"16,852.00",AUD,Adapt Australia Pty Ltd,PO Box 1508 Tullamarine VIC 3043,NO,NO,,,,,,,,,4502601098,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",MISCELLANEOUS,17/11/2022,"16,829.78",AUD,B & S Hydraulics Pty Ltd,PO Box 176 Virginia QLD 4014,NO,NO,,,,,,,,,4502598079,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",CLEANING,11/10/2022,"16,720.00",AUD,Total Building Maintenance-Qld,PO Box 381 Virginia QLD 4014,NO,NO,,,,,,,,,4502596931,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",FREIGHT & CARTAGE,16/11/2022,"16,713.13",AUD,S & NI Marsh,PO Box 109 Gordonvale QLD 4865,NO,NO,,,,,,,,,4502597863,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",CONSTR BLDING MATLS,11/03/2022,"16,500.00",AUD,Mt Marrow Blue Metal,237 Mt Marrow Quarry Road Haigslea QLD 4306,NO,NO,,,,,,,,,4502595894,,,,,
