Agency (Dept or Stat Body),Agency address,Contract description/name,Award contract date,Contract value,Currency,Supplier name,Supplier address,Variation to contract (Yes/No),Specific confidentiality provision used,Procurement method,Justification,Form of contract,Number of offers sought,Evaluation criteria and weightings,Deliverables,Contract milestones,Contract performance management,Contract reference number,Contract category group,Parent contract number/SOA,Commence date,Supplier ABN,Finish date
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",2022 COACHING AND DEVELOPMENT PANEL - LEE HECHT HARRISON,28/07/2022,400000,AUD,Lee Hecht Harrison Pty Ltd,PO Box 3016 Brisbane QLD 4000,NO,NO,,,,,,,,,CW2303033,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",2022 COACHING AND DEVELOPMENT PANEL - NOUS GROUP,27/07/2022,400000,AUD,Nous Group,Lvl 12 259 Queen Street Brisbane QLD 4000,NO,NO,,,,,,,,,CW2303035,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",2022 COACHING AND DEVELOPMENT PANEL - ONTALENT,27/07/2022,400000,AUD,OnTalent PTY Limited,PO Box 194 Brisbane QLD 4001,NO,NO,,,,,,,,,CW2303037,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",2022 COACHING AND DEVELOPMENT PANEL - SHAPE CONSULTING,27/07/2022,400000,AUD,Shape Consulting Pty Ltd,GPO Box 2321 Brisbane QLD 4001,NO,NO,,,,,,,,,CW2303041,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",2022 BUSINESS DIAGNOSTIC PROFESSIONAL SERVICES,11/07/2022,395000,AUD,The Boston Consulting Group P/L,101 Collins Street Melbourne VIC 3000,NO,NO,,,,,,,,,CW2302638,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",HIRE-LEASE PLANT&EQP,22/07/2022,361439.53,AUD,Aggreko,18 Bivouac Place Wacol QLD 4076,NO,NO,,,,,,,,,4502555900,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",2022 CONSULTANCY SERVICES - PROVISION OF INSTRUCTIONAL DESIGN FOR TRAINING,7/03/2022,353015,AUD,Easy Authoring,50 Bridge Street Sydney NSW 2000,YES,NO,,,,,,,,,CW2299962,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",2022 ETCS L1 INTEGRATION STAGE 1 - IMU AND SMU,1/07/2022,305450.25,AUD,Alstom Transport Australia Pty Ltd,16 Giffnock Avenue MacQuarie Park NSW 2113,NO,NO,,,,,,,,,CW2301479,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",2021 CAPACITY INVESTIGATIONS - EIOP (WOG SOA - QGP0050-18 T1 AND T3) - WSP,2/08/2021,300000,AUD,WSP Australia Pty Limited,GPO Box 5394 Sydney NSW 2001,YES,NO,,,,,,,,,CW2293112,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",PROPERTY,7/07/2022,295569.09,AUD,Jones Lang Lasalle (Qld) Pty Ltd,151-171 Roma Street Brisbane QLD 4000,NO,NO,,,,,,,,,4502551348,,,,,
