Agency (Dept or Stat Body),Agency address,Contract description/name,Award contract date,Contract value,Currency,Supplier name,Supplier address,Variation to contract (Yes/No),Specific confidentiality provision used,Procurement method,Justification,Form of contract,Number of offers sought,Evaluation criteria and weightings,Deliverables,Contract milestones,Contract performance management,Contract reference number,Contract category group,Parent contract number/SOA,Commence date,Supplier ABN,Finish date
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",COMMUN EQUIPMENT,30/08/2021,348480,AUD,AARNET Pty Ltd,3 Richardson North Ryde NSW 2113,NO,NO,,,,,,,,,4502459900,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",OTHER DIRECT PROFESSIONAL SERVICES,10/11/2020,347400,AUD,Emch+Berger AG Bern,Schloesslistrasse 23 Bern BE 3001,YES,NO,,,,,,,,,CW2286155,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",RAILWAY EQUIPMENT,19/08/2021,320166,AUD,UES (INTL) Pty Ltd,36 Pritchard Road Virginia QLD 4014,NO,NO,,,,,,,,,4502453761,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",HARDWARE CONSUMABLES,31/08/2021,275309.1,AUD,Knorr-Bremse Australia Pty Ltd,16 Machinery Street Darra QLD 4076,NO,NO,,,,,,,,,4502460099,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000","STRUCTURAL MAINTENANCE & REPAIRS (BRIDGES, CULVERTS, PIERS)",28/07/2021,242387.73,AUD,The Rix Group Pty Ltd,25 Bourke Street Woolloongabba QLD 4102,NO,NO,,,,,,,,,CW2293629,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",COMMUN EQUIPMENT,30/08/2021,215803.5,AUD,AARNET Pty Ltd,3 Richardson North Ryde NSW 2113,NO,NO,,,,,,,,,4502459898,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",RAILWAY EQUIPMENT,18/08/2021,214992.8,AUD,Knorr-Bremse Australia Pty Ltd,16 Machinery Street Darra QLD 4076,NO,NO,,,,,,,,,4502453554,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",OTHER DIRECT PROFESSIONAL SERVICES,2/08/2021,200000,AUD,Arup Pty Limited,108 Wickham Street Fortitude Valley QLD 4006,NO,NO,,,,,,,,,CW2293096,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",OTHER DIRECT PROFESSIONAL SERVICES,3/08/2021,200000,AUD,GHD Pty Ltd,PO Box 494 Cairns QLD 4870,NO,NO,,,,,,,,,CW2293102,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",OTHER DIRECT PROFESSIONAL SERVICES,2/08/2021,200000,AUD,Nous Group,Lvl 12 259 Queen Street Brisbane QLD 4000,NO,NO,,,,,,,,,CW2293108,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",OTHER DIRECT PROFESSIONAL SERVICES,3/08/2021,200000,AUD,RPS AAP Consulting Pty Ltd,PO Box 1559 Fortitude Valley QLD 4006,NO,NO,,,,,,,,,CW2293110,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",OTHER DIRECT PROFESSIONAL SERVICES,2/08/2021,200000,AUD,WSP Australia Pty Limited,GPO Box 5394 Sydney NSW 2001,NO,NO,,,,,,,,,CW2293112,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",BULK FUEL,2/08/2021,193050,AUD,Ampol Australia Pty Ltd,PO Box 794 Lytton QLD 4178,NO,NO,,,,,,,,,4502451044,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",OPSTRVTRAIN DEL,18/05/2021,188894.04,AUD,Progress Rail Services,24 Daisy Street Revesby NSW 2212,YES,NO,,,,,,,,,4502425599,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",FEASIBILITY & APPRAISAL,18/05/2021,171887.2,AUD,Infosys Portland,68 Pitt Street Sydney NSW 2000,YES,NO,,,,,,,,,CW2292543,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",BULK FUEL,2/08/2021,154440,AUD,Ampol Australia Pty Ltd,PO Box 794 Lytton QLD 4178,NO,NO,,,,,,,,,4502451042,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",OTHER DIRECT PROFESSIONAL SERVICES,27/08/2021,150000,AUD,Deloitte Consulting Pty Ltd,225 Level 9 George Street Sydney NSW 2000,NO,NO,,,,,,,,,CW2295379,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",MISCELLANEOUS,17/08/2021,150000,AUD,Sunlover Holidays Pty Ltd,179 Normanby Road South Melbourne VIC 3205,NO,NO,,,,,,,,,4502453376,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",COMMUN EQUIPMENT,4/08/2021,148940,AUD,Pipe Networks Ltd,127 Creek Street Brisbane QLD 4000,NO,NO,,,,,,,,,4502451646,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",Alternate Transport,26/08/2021,147115,AUD,Bowen Taxis and Booked Driver,PO Box 644 Bowen QLD 4805,NO,NO,,,,,,,,,CW2294510,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000","ORES, MINERALS",17/08/2021,136224,AUD,Karreman Quarries,632 West Mt Cotton Road Mt Cotton QLD 4165,NO,NO,,,,,,,,,4502453225,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",BULK FUEL,24/08/2021,127600,AUD,Ampol Australia Pty Ltd,PO Box 794 Lytton QLD 4178,NO,NO,,,,,,,,,4502454278,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",RAILWAY EQUIPMENT,17/08/2021,124080,AUD,Airlube Australasia,268 Camboon Road Malaga WA 6090,NO,NO,,,,,,,,,4502453333,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",PROFESSIONAL SERVICE,30/08/2021,115368,AUD,Meltwater Australia Pty Ltd,50 Carrington Street Sydney NSW 2000,NO,NO,,,,,,,,,4502459893,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",PIPE TUBE HOSE & FIT,31/08/2021,90798.84,AUD,Knorr-Bremse Australia Pty Ltd,16 Machinery Street Darra QLD 4076,NO,NO,,,,,,,,,4502460114,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",FIRE SAF & ENV EQUIP,4/08/2021,68534.4,AUD,J Blackwood & Son Ltd,PO Box 277 Maryborough QLD 4650,NO,NO,,,,,,,,,4502451666,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",MTNCE & REPAIR EQUIP,24/08/2021,67160.5,AUD,Tom Stoddart Pty Ltd,39 Forest Way Karawatha QLD 4117,NO,NO,,,,,,,,,4502454248,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",VEGETATION MNGMENT,13/08/2021,63613.01,AUD,B4C Bulimba Creek Catchment,1358 Old Cleveland Road Carindale QLD 4152,NO,NO,,,,,,,,,4502452966,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",RAILWAY EQUIPMENT,20/08/2021,60867.84,AUD,Faiveley Transport Australia Ltd,175 James Ruse Drive Rosehill NSW 2142,NO,NO,,,,,,,,,4502453804,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",LABOUR CONTRACTORS,16/08/2021,56097.76,AUD,Energex,46 Blinzinger Road Banyo QLD 4014,NO,NO,,,,,,,,,4502453067,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",LABOUR CONTRACTORS,16/08/2021,56097.76,AUD,Energex,46 Blinzinger Road Banyo QLD 4014,NO,NO,,,,,,,,,4502453068,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",PROFESSIONAL SERVICE,13/08/2021,55879.51,AUD,Aurizon Network Pty Ltd,PO Box 456 Brisbane QLD 4001,NO,NO,,,,,,,,,4502452931,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",LIGHT INDUSTRY MACH,9/08/2021,54304.8,AUD,Comsteel,PO Box 14 Waratah NSW 2298,NO,NO,,,,,,,,,4502452232,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",ELECTRICAL COMPNENTS,5/08/2021,48302.76,AUD,Voith Turbo Pty Ltd,23-47 Percival Road Smithfield NSW 2164,NO,NO,,,,,,,,,4502451729,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",PROFESSIONAL SERVICE,17/08/2021,43780.97,AUD,UES (INTL) Pty Ltd,36 Pritchard Road Virginia QLD 4014,NO,NO,,,,,,,,,4502453253,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",RAILWAY EQUIPMENT,24/08/2021,38612.75,AUD,Specialised Force Pty Ltd,68 Northlink Place Northgate QLD 4013,NO,NO,,,,,,,,,4502454277,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",COMMUN EQUIPMENT,3/08/2021,35090,AUD,Voestalpine SIGNALING Siershahn Gmb,160 Hartley Road Smeaton Grange NSW 2567,NO,NO,,,,,,,,,4502451352,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",IT DESKTOP - SW/HW & SERVICES,6/08/2021,35000,AUD,Reliant Systems Pty Ltd,42 Sanctuary Drive Idalia QLD 4811,NO,NO,,,,,,,,,CW2295043,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",CIVIL WORKS CONTRACT,30/08/2021,32754.26,AUD,Rail & Civil Group,81 Sherwood Road Rocklea QLD 4106,NO,NO,,,,,,,,,4502459502,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",ELECTRICAL COMPNENTS,2/08/2021,32656.58,AUD,Imtram Pty Ltd,PO Box 4460 Ringwood VIC 3134,NO,NO,,,,,,,,,4502450988,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",IT DESKTOP - SW/HW & SERVICES,17/08/2021,30000,AUD,DTI Group Ltd,31 Affleck Road Perth Airport WA 6065,NO,NO,,,,,,,,,CW2293532,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",CIVIL WORKS CONTRACT,27/08/2021,29660.68,AUD,The Rix Group Pty Ltd,25 Bourke Street Woolloongabba QLD 4102,NO,NO,,,,,,,,,4502457961,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",RAILWAY EQUIPMENT,3/08/2021,28578,AUD,Vossloh Cogifer Australia Pty Ltd,PO Box 1248 Castlemaine VIC 3450,NO,NO,,,,,,,,,4502451209,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000","M VEH, TRLRS & CYCL",9/08/2021,28538.37,AUD,DA.MET Automotive & Industrial Pty,42 Precision Street Salisbury QLD 4107,NO,NO,,,,,,,,,4502452234,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",PROFESSIONAL SERVICE,26/08/2021,27145.8,AUD,Sparc Solution Positive,PO Box 1777 Toowong QLD 4066,NO,NO,,,,,,,,,4502457852,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",RAILWAY EQUIPMENT,25/08/2021,26664,AUD,HI Fraser Pty Ltd,27a Stockdale Road O'Connor WA 6163,NO,NO,,,,,,,,,4502454506,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",SERV PLANT & EQUIP,10/08/2021,26191,AUD,B & S Hydraulics Pty Ltd,PO Box 176 Virginia QLD 4014,NO,NO,,,,,,,,,4502452439,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",BEARINGS,18/08/2021,26180,AUD,NSK Australia Pty Ltd,100 Logis Boulevard Dandenong South VIC 3175,NO,NO,,,,,,,,,4502453594,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",RAILWAY EQUIPMENT,19/08/2021,25611.52,AUD,Voith Turbo Pty Ltd,23-47 Percival Road Smithfield NSW 2164,NO,NO,,,,,,,,,4502453738,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",ALARM SIGNAL SEC SYS,26/08/2021,24717,AUD,Appliance Testing Supplies,8 Mosrael Place Rowville VIC 3178,NO,NO,,,,,,,,,4502457143,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",ELECTRICAL COMPNENTS,12/08/2021,24640,AUD,Tec-Mach Pty Ltd,26 Staple Street Seventeen Mile Rocks QLD 4073,NO,NO,,,,,,,,,4502452725,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",ELECTRICAL COMPNENTS,6/08/2021,23760,AUD,Tec-Mach Pty Ltd,26 Staple Street Seventeen Mile Rocks QLD 4073,NO,NO,,,,,,,,,4502452101,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",PROFESSIONAL SERVICE,16/08/2021,23716,AUD,MinStaff Survey Pty Ltd,PO Box 974 Toowoomba QLD 4350,NO,NO,,,,,,,,,4502453180,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",HIRE-LEASE PLANT&EQP,25/08/2021,23519.65,AUD,EMAK Communications & Civils Pty Lt,14 Jurekey Street Cluden QLD 4811,NO,NO,,,,,,,,,4502454508,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",HIRE-LEASE PLANT&EQP,31/08/2021,23430,AUD,The Traffic Design Company Pty Ltd,PO Box 265 Caboolture QLD 4510,NO,NO,,,,,,,,,4502459951,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",VEGETATION MNGMENT,18/08/2021,23259.5,AUD,Green Leaf Services,Po Box 62 Narangba QLD 4504,NO,NO,,,,,,,,,4502453529,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",VEGETATION MNGMENT,25/08/2021,23259.5,AUD,Green Leaf Services,Po Box 62 Narangba QLD 4504,NO,NO,,,,,,,,,4502454538,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",CONSTR BLDING MATLS,17/08/2021,23238.6,AUD,Tellam Civil Products,19 Main Drive Warana QLD 4575,NO,NO,,,,,,,,,4502453364,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",RAILWAY EQUIPMENT,2/08/2021,23217.26,AUD,Voith Turbo Pty Ltd,23-47 Percival Road Smithfield NSW 2164,NO,NO,,,,,,,,,4502450947,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",CONSTR & EXCAV EQUIP,18/08/2021,23159.51,AUD,Railtech Australia Ltd,52 Lysaght Street Acacia Ridge QLD 4110,NO,NO,,,,,,,,,4502453543,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",RAILWAY EQUIPMENT,26/08/2021,22984.5,AUD,Knorr-Bremse Australia Pty Ltd,16 Machinery Street Darra QLD 4076,NO,NO,,,,,,,,,4502457599,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",CONSTR BLDING MATLS,9/08/2021,22732.6,AUD,Glendon Quarry Trust,PO Box 711 Emerald QLD 4720,NO,NO,,,,,,,,,4502452143,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",RAILWAY EQUIPMENT,13/08/2021,22682,AUD,Fencepac Commercial Pty Ltd,PO Box 1097 Kunda Park QLD 4556,NO,NO,,,,,,,,,4502452963,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",COMMUN EQUIPMENT,5/08/2021,22589.6,AUD,Voestalpine SIGNALING Siershahn Gmb,160 Hartley Road Smeaton Grange NSW 2567,NO,NO,,,,,,,,,4502451725,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",RAILWAY EQUIPMENT,17/08/2021,22551.05,AUD,Dexion North Queensland,PO Box 2267 Cairns QLD 4870,NO,NO,,,,,,,,,4502453378,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",HIRE-LEASE PLANT&EQP,18/08/2021,22440,AUD,MacTrans Heavy Haulage Pty Ltd,144 Coulson Street Wacol QLD 4076,NO,NO,,,,,,,,,4502453435,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",PROFESSIONAL SERVICE,24/08/2021,22198,AUD,Converge International Pty Ltd,255 Bourke Street Melbourne VIC 3000,NO,NO,,,,,,,,,4502454363,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",RAILWAY EQUIPMENT,20/08/2021,22033,AUD,Industrial Hydraulics Pty Ltd,121 Granite Street Geebung QLD 4034,NO,NO,,,,,,,,,4502453830,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",SOFTWARE MAINTENANCE,3/08/2021,22000,AUD,Norton Rose Australia,111 Eagle Street Brisbane QLD 4000,NO,NO,,,,,,,,,4502451379,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",SUBSCRIPTIONS,5/08/2021,22000,AUD,Mitez Inc,PO Box 1258 Mount Isa QLD 4825,NO,NO,,,,,,,,,4502451825,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",SERV PLANT & EQUIP,22/07/2021,22000,AUD,Wurth Australia Ltd,2/1 Healy Road Dandenong South VIC 3175,YES,NO,,,,,,,,,4502446804,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",PROFESSIONAL SERVICE,20/08/2021,21872.4,AUD,Market & Communications,161a Arthur Street Fortitude Valley QLD 4006,NO,NO,,,,,,,,,4502453861,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",RAILWAY EQUIPMENT,19/08/2021,21813,AUD,Gold Creek Engineers Australia,10 Keryn Pl Keperra QLD 4054,NO,NO,,,,,,,,,4502453742,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",RAILWAY EQUIPMENT,31/08/2021,21648,AUD,Pacific Hydraulics Pty Ltd,31 Powers Road Seven Hills NSW 2147,NO,NO,,,,,,,,,4502460174,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",SERV PLANT & EQUIP,31/08/2021,21395,AUD,DJ's Body Works,84 Frederick Street Northgate QLD 4013,NO,NO,,,,,,,,,4502460160,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",ELECTRICAL COMPNENTS,5/08/2021,21186.55,AUD,Voith Turbo Pty Ltd,23-47 Percival Road Smithfield NSW 2164,NO,NO,,,,,,,,,4502451740,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",LABOUR CONTRACTORS,31/08/2021,21050.7,AUD,The Traffic Design Company Pty Ltd,PO Box 265 Caboolture QLD 4510,NO,NO,,,,,,,,,4502460134,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000","METAL BARS,SHT/SHAPE",10/08/2021,20988,AUD,Morton's Earthmoving,MS 102 Ingham QLD 4850,NO,NO,,,,,,,,,4502452455,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000","METAL BARS,SHT/SHAPE",19/08/2021,20988,AUD,Morton's Earthmoving,MS 102 Ingham QLD 4850,NO,NO,,,,,,,,,4502453758,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",PROFESSIONAL SERVICE,20/08/2021,20900,AUD,Mazars HR Pty Ltd,PO Box 2268 Brisbane QLD 4000,NO,NO,,,,,,,,,4502453853,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",RAILWAY EQUIPMENT,23/03/2021,20864.14,AUD,SMC Corporation (Australia) Pty Ltd,17 Shannon Place Virginia QLD 4014,YES,NO,,,,,,,,,4502410074,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",PROFESSIONAL SERVICE,30/08/2021,20674.5,AUD,Australian Soil and Concrete,17 De-Havilland Crescent Ballina NSW 2478,NO,NO,,,,,,,,,4502458078,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",RAILWAY EQUIPMENT,27/07/2021,20249.47,AUD,Cooper Fluid Systems Pty Ltd,152 Cobalt Street Carole Park QLD 4300,YES,NO,,,,,,,,,4502447491,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",Electrical Cables and Conductors,10/08/2021,20236.28,AUD,Haymans Electrical Pty Ltd,593 Boundary Road Archerfield QLD 4108,NO,NO,,,,,,,,,4502452408,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",MISCELLANEOUS,3/08/2021,20090.4,AUD,Woodtech Engineering Pty Ltd,76 Neptune Street Maryborough QLD 4650,NO,NO,,,,,,,,,4502451363,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",CLEANING,5/08/2021,20020,AUD,Flick Pest Control Services,41 Bunya Street Eagle Farm QLD 4009,NO,NO,,,,,,,,,4502451719,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000","M VEH, TRLRS & CYCL",16/08/2021,19619.6,AUD,Woodtech Engineering Pty Ltd,76 Neptune Street Maryborough QLD 4650,NO,NO,,,,,,,,,4502453136,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",RAILWAY EQUIPMENT,5/08/2021,19349,AUD,Vossloh Cogifer Australia Pty Ltd,PO Box 1248 Castlemaine VIC 3450,NO,NO,,,,,,,,,4502451923,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",PROFESSIONAL SERVICES,6/08/2021,18920,AUD,Donohoe Consulting Pty Ltd,6 Willis Street Gordon Park QLD 4031,NO,NO,,,,,,,,,4502452009,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",MISCELLANEOUS,24/08/2021,18887,AUD,Key Source Rail Pty Ltd,PO Box 4077 Midvale WA 6056,NO,NO,,,,,,,,,4502454362,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",INSURANCE SPARE,19/08/2021,18700,AUD,Bombardier Transportation,PO Box 618 Dandenong VIC 3175,NO,NO,,,,,,,,,4502453737,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",CIVIL WORKS CONTRACT,20/08/2021,18700,AUD,Dick Sugden Crane Hire,PO Box 961 Toowoomba QLD 4350,NO,NO,,,,,,,,,4502453791,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000","ORES, MINERALS",6/08/2021,18696.44,AUD,Boral Resources Qld Pty Ltd,Cnr Anzac & Alderley Streets Toowoomba QLD 4350,NO,NO,,,,,,,,,4502451981,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",PLUMBING HEAT EQUIP,17/08/2021,18678,AUD,Urban Fountains and Furniture,5 Telford Circuit Yatala QLD 4207,NO,NO,,,,,,,,,4502453373,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",HIRE-LEASE PLANT&EQP,25/08/2021,18392,AUD,Wide Bay Crane Hire,PO Box 48 Maryborough QLD 4650,NO,NO,,,,,,,,,4502454516,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",HIRE-LEASE PLANT&EQP,23/08/2021,18315,AUD,MacTrans Heavy Haulage Pty Ltd,144 Coulson Street Wacol QLD 4076,NO,NO,,,,,,,,,4502454074,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",LIGHTING & LAMPS,11/08/2021,18302.68,AUD,Valen Power,Po Box 74 Lake Cargelligo NSW 2672,NO,NO,,,,,,,,,4502452576,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",SERVICES - ELEC INV,19/08/2021,18150,AUD,Sedl Earthmoving Pty Ltd,PO Box 823 Toowoomba QLD 4350,NO,NO,,,,,,,,,4502453661,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",RAILWAY EQUIPMENT,10/08/2021,17952,AUD,Steelrod Pty Ltd,PO Box 442 Narangba QLD 4504,NO,NO,,,,,,,,,4502452339,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",RAILWAY EQUIPMENT,16/08/2021,17952,AUD,Steelrod Pty Ltd,PO Box 442 Narangba QLD 4504,NO,NO,,,,,,,,,4502453170,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",RAILWAY EQUIPMENT,2/08/2021,17780.57,AUD,Voith Turbo Pty Ltd,23-47 Percival Road Smithfield NSW 2164,NO,NO,,,,,,,,,4502450950,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",CONSTR BLDING MATLS,10/08/2021,17725.83,AUD,Thermit Australia Pty Ltd,PO Box 76 Somersby NSW 2250,NO,NO,,,,,,,,,4502452472,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",HIRE-LEASE PLANT&EQP,18/08/2021,17600,AUD,The Traffic Design Company Pty Ltd,PO Box 265 Caboolture QLD 4510,NO,NO,,,,,,,,,4502453448,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",TRAINING SERVICES,26/08/2021,17545,AUD,Donohoe Consulting Pty Ltd,6 Willis Street Gordon Park QLD 4031,NO,NO,,,,,,,,,4502457285,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",MISCELLANEOUS,3/08/2021,17518.6,AUD,Woodtech Engineering Pty Ltd,76 Neptune Street Maryborough QLD 4650,NO,NO,,,,,,,,,4502451383,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",MTNCE & REPAIR EQUIP,3/08/2021,17427.37,AUD,Australian Hydraulic Services,9 Campbell St Cullinane QLD 4860,NO,NO,,,,,,,,,4502451215,,,,,
