Line Section,Km,Road Name,Type,Vehicular Protection,Signs,Open Status,Responsible Authority
323,9.19,(On BP Siding),Occupation,,,Open,PRI
323,9.32,(On BP Siding),Occupation,,,Open,PRI
323,9.52,(On BP Siding),Occupation,,,Open,PRI
323,10.02,(On BP Siding),Occupation,,,Open,PRI
323,10.07,(On Boat Passage Siding off BP Siding),Public Level,Signs,X T,Open,MRD
323,10.12,(On BP Siding),Occupation,,,Open,PRI
323,11.62,(On BP Siding),Occupation,,,Open,PRI
REDBANK YARD,,,,,,,
503,0.165,River Road,Public Level,Signs,X G,Open,LGA
503,0.2,River Road,Public Level,Signs,X G,Open,QR
ROMA STREET FORK,,,,,,,
134,0.216,QR Maintenance Road,QR,Flashing Lights,,Open,QR
SHORNCLIFFE BRANCH,,,,,,,
531,3.11,St Vincents Road,Public Level,Half Boomgates,,Open,LGA
531,5.612,Nudgee Station Pedestrian Access,Pedestrian,,,Open,QR
531,8.48,Adams Street,Public Level,Half Boomgates,,Open,LGA
531,9.42,Kennerley Street,Public Level,Half Boomgates,,Open,LGA
531,9.94,Curlew Street,Public Level,Flashing Lights,,Open,LGA
531,10.46,Palm Avenue,Public Level,Half Boomgates,,Open,LGA
531,10.85,QR Staff Parking Area Access Road,QR,Nil,,Open,QR
SWANBANK BRANCH (BOX FLAT),,,,,,,
504,0.33,QR Maintenance Access Road,QR,Nil,,Open,MRD
504,0.84,Brisbane Rd (Ipswich Road),Public Level,Flashing Lights,,Open,MRD
504,0.976,Ipswich Racecourse Pedestrian Access,Pedestrian,,,Open,QR
504,1.09,Heaslip Street/Ipswich Racecourse,Pedestrian,,,Open,LGA
,,Pedestrian Access,,,,,
504,1.17,Property Access Road,Occupation,Signs,X S,Open,PRI
504,1.23,Property Access Road,Occupation,,,Open,PRI
504,1.25,Property Access Road,Occupation,Signs,X S,Open,PRI
504,1.41,Property Access Road,Occupation,Signs,X S,Open,PRI
504,1.5,Anderson Street,Public Level,Signs,X G,Open,LGA
504,2.24,Thomas Street,Public Level,Flashing Lights,,Open,LGA
504,2.67,Mary Street,Public Level,Signs,X S,Open,LGA
504,3.295,Mary Street,Public Level,Signs,X S,Open,LGA
TENNYSON BRANCH,,,,,,,
804,0,Yard Access,Public Level,,,Open,LGA
804,3.03,,Occupation,,,Open,QR
804,3.84,,QR,,,Open,QR
