control,from,to,freight up pass to pass,freight up pass to stop,freight up start to pass,freight up start to stop,freight down pass to pass,freight down pass to stop,freight down start to pass,freight down start to stop,cattle pass to pass,cattle pass to stop,cattle start to pass,cattle start to stop,coal pass to pass,coal pass to stop,coal start to pass,coal start to stop,freight 60k pass to pass,freight 60k pass to stop,freight 60k start to pass,freight 60k start to stop,freight 80k pass to pass,freight 80k pass to stop,freight 80 start to pass,freight 80k start to stop,tilt train up pass to pass,tilt train up pass to stop,tilt train up start to pass,tilt train up start to stop,tilt train down pass to pass,tilt train down pass to stop,tilt train down start to pass,tilt train down start to stop,livestock up pass to pass,livestock down pass to pass
,Clifton,Nobby,,,,,,,,,,,,,,,,,12,14,15,17,12,14,15,17,12,13,14,15,12,13,14,15,,
,Cloncurry,Marimo,24,,,,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Cluden,Oonoonba,2,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Cobarra New Leg,Cobarra Old Leg,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Cobarra Old Leg,Purono,3,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Cobba-da-mana,Gore,,,,,,,,,,,,,,,,,56,58,59,61,56,58,59,61,56,57,58,59,56,57,58,59,,
,Cobba-da-mana,Inglewood,,,,,,,,,,,,,,,,,19,21,22,24,19,21,22,24,17,18,19,20,17,18,19,20,,
,Cobba-da-mana,Yuraraba,,,,,,,,,,,,,,,,,28,29,29,29,28,29,30,30,,,,,,,,,,
,Colton,Torbanlea,7,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brisbane Far West,Columboola,Miles,,,,,,,,,21,23,24,26,,,,20,22,23,25,,,,,,,,,,,,,,,
Brisbane Far West,Columboola,Rywung,,,,,,,,,14,16,17,19,15,17,18,20,15,17,18,20,,,,,,,,,,,,,,
,Comet,Yamala,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,19
,Conn,Cardwell,19,,,,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brisbane Far West,Cooladdi,Cheepie,,,,,,,,,70,72,73,75,,,,70,72,73,75,,,,,,,,,,,,,,,
Brisbane Far West,Cooladdi,Coothalla,,,,,,,,,50,52,53,55,,,,50,52,53,55,,,,,,,,,,,,,,,
Brisbane Far West,Coolbinga,Cheepie,,,,,,,,,70,72,73,75,,,,65,67,68,70,,,,,,,,,,,,,,,
Brisbane Far West,Coolbinga,Quilpie,,,,,,,,,55,57,58,60,,,,55,57,58,60,,,,,,,,,,,,,,,
Brisbane Far West,Coongola,Offham,,,,,,,,,,,,,,,,35,36,37,38,,,,,,,,,,,,,,,
Brisbane Far West,Coongoola,Cunnamulla,,,,,,,,,,,,,,,,75,77,78,80,,,,,,,,,,,,,,,
Brisbane Far West,Coongoola,Wyandra,,,,,,,,,,,,,,,,71,73,74,76,,,,,,,,,,,,,,,
,Cooran,Traveston,6,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Cooroy,Pomona,9,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brisbane Far West,Coothalla,Cooladdi,,,,,,,,,,,,,,,,60,62,63,65,,,,,,,,,,,,,,,
Brisbane Far West,Coothalla,Wanko,,,,,,,,,25,27,28,30,,,,25,27,28,30,,,,,,,,,,,,,,,
,Cotton Vale,Silverwood,,,,,,,,,,,,,,,,,56,58,59,61,56,58,59,61,56,57,58,59,56,57,58,59,,
,CottonVale,The Summit,,,,,,,,,,,,,,,,,6,8,9,11,6,8,9,11,6,7,8,9,6,7,8,9,,
,Cromarty,Storth,7,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brisbane Far West,Cunnamulla,Coongoola,,,,,,,,,,,,,,,,75,77,78,80,,,,,,,,,,,,,,,
,Curra,Theebine,9,,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brisbane Far West,Dalby,Blaxland,,,,,,,,,7,9,10,12,9,11,12,14,7,9,10,12,,,,,,,,,,,,,,
Brisbane Far West,Dalby,Kupunn,,,,,,,,,,,,,,,,27,29,30,32,,,,,,,,,,,,,,,
Brisbane Far West,Dalby,Tycanba,,,,,,,,,5,7,8,10,5,7,8,10,5,7,8,10,,,,,,,,,,,,,,
,Darr,Morella,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42,41
,Dawlish,Balberra,6,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Daymar 1,Gradule B,,,,,,,,,,,,,,,,,26,27,27,28,26,26,27,28,,,,,,,,,,
,Daymar 1,Thallon A,,,,,,,,,,,,,,,,,25,26,27,28,25,26,27,28,,,,,,,,,,
,Deeragun,Cobarra New Leg,8,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Deeral,Aloomba,15,,,,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Deroora,Ilfracombe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35,37
,Dillcar,Winton,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40,38
,Dimbulah,Verdue,44,46,47,49,44,46,47,49,,,,,,,,,,,,,,,,,40,41,42,43,40,41,42,43,,
,Dirranbandi,Noondoo,,,,,,,,,,,,,,,,,30,32,33,35,30,32,33,35,,,,,,,,,,
Brisbane Far West,Drillham,Miles,,,,,,,,,22,24,25,27,27,29,30,32,27,29,30,32,,,,,,,,,,,,,,
Brisbane Far West,Drillham,Ulimaroa,,,,,,,,,7,9,10,12,,,,10,12,13,15,,,,,,,,,,,,,,,
,Drummond,Pine Hill,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,21
,Duchess,Woonigan,36,,,,34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brisbane Far West,Dulacca,Jackson,,,,,,,,,16,18,19,21,,,,16,18,19,21,,,,,,,,,,,,,,,
Brisbane Far West,Dulacca,Ulimaroa,,,,,,,,,20,22,23,25,22,24,25,27,22,24,25,27,,,,,,,,,,,,,,
Brisbane Far West,Dulbydilla,Morven,,,,,,,,,27,29,30,32,,,,29,31,32,34,,,,,,,,,,,,,,,
Brisbane Far West,Dulbydilla,Mungallala,,,,,,,,,,,,,21,23,24,26,21,23,24,26,,,,,,,,,,,,,,
,Durroburra,Kaili,7,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brisbane West,Ebenezer,Yarrowlea,,,,,,,,,,,,,9,10,10,11,9,10,10,11,,,,,,,,,,,,,,
,Edgehill,Freshwater,10,12,13,15,10,12,13,15,,,,,,,,,,,,,,,,,11,12,13,14,11,12,13,14,,
,Einasleigh,Forsayth,,,,,,,,,,,,,,,,,,,,,,,,,177,178,179,180,162,163,164,165,,
,El Arish,Silkwood,8,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
