Agency (Dept or Stat Body),Agency address,Contract description/name,Award contract date,Contract value,Currency,Supplier name,Supplier address,Variation to contract (Yes/No),Specific confidentiality provision used,Procurement method,Form of contract,Number of offers sought,Evaluation criteria and weightings,Deliverables,Contract milestones,Contract performance management,Contract reference number,Contract category group,Parent contract number/SOA,Commence date,Supplier ABN,Finish date
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",OTHER DIRECT PROFESSIONAL SERVICES,10/02/2020,120000,AUD,Niche Environment & Heritage Pty Lt,PO Box W36 Parramatta NSW 2150,NO,NO,,,,,,,,,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4010","Employee Support Services (Healthcare, etc.)",30/09/2019,"119,270.00",AUD,Seek Ltd,GPO Box 2335 Sydney NSW 2001,YES,NO,,,,,,,,,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",COMMUN EQUIPMENT,30/06/2020,118868.51,AUD,EMC Global Holdings Company,PO Box 1326 North Sydney NSW 2060,NO,NO,,,,,,,,,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",BULK FUEL,12/05/2020,118800,AUD,Caltex Aust Petroleum Pty Ltd,PO Box 794 Lytton QLD 4178,NO,NO,,,,,,,,,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000","ENGINES, TURB & COMP",6/05/2020,118786.8,AUD,Penske Power Systems,196 Viking Drive Wacol QLD 4076,NO,NO,,,,,,,,,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",FLEET MNGMENT,21/06/2017,118665.4,AUD,HMF Engineering (Qld) Pty Ltd,PO Box 148 Crows Nest QLD 4355,YES,NO,,,,,,,,,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",OHEAD ELECT CONTRACT,30/05/2013,118320.3,AUD,Onesteel Reinforcing,PO Box 6125 Acacia Ridge DC QLD 4110,YES,NO,,,,,,,,,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",RAILWAY EQUIPMENT,18/09/2019,117842.74,AUD,Voith Turbo Pty Ltd,1-47 Percival Road Smithfield NSW 2164,NO,NO,,,,,,,,,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",HIRE-LEASE PLANT&EQP,2/07/2019,117535.99,AUD,Jada Excavations Pty Ltd,2 McLean Street Pittsworth QLD 4356,NO,NO,,,,,,,,,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",PROFESSIONAL SERVICE,11/04/2019,116756.4,AUD,Barto's Plumbing,PO Box 2 Karumba QLD 4891,YES,NO,,,,,,,,,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",PROFESSIONAL SERVICE,14/05/2020,116600,AUD,Professional Construction Strategie,5/47 Ballinderry Street Everton Park QLD 4053,NO,NO,,,,,,,,,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",PROFESSIONAL SERVICE,3/06/2020,116282.1,AUD,QLeave,PO Box 512 Lutwyche QLD 4030,NO,NO,,,,,,,,,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",VEGETATION MNGMENT,8/07/2019,115867.69,AUD,David Tickell Earthmoving Pty Ltd,1247 Umbiram Road Umbiram QLD 4352,NO,NO,,,,,,,,,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",CONSTR BLDING MATLS,6/04/2020,115509.9,AUD,Watkins Steel Pty Ltd,106 Depot Street Banyo QLD 4014,NO,NO,,,,,,,,,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",COMMUN EQUIPMENT,13/02/2020,115137,AUD,Miri Engineering Pty Ltd,30 Buckingham Drive Wangara WA 6065,NO,NO,,,,,,,,,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",ELECTRICAL CABLES AND CONDUCTORS,1/06/2015,115057,AUD,NKT Pty Ltd,PO Box 3132 Hendra QLD 4011,NO,NO,,,,,,,,,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",PROFESSIONAL SERVICE,10/03/2016,114440.7,AUD,Acmena Group Pty Ltd,9 Mara Place Ashgrove QLD 4060,YES,NO,,,,,,,,,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",PROFESSIONAL SERVICES DIRECT,7/05/2020,113993,AUD,KPMG,PO Box 2291U Melbourne VIC 3000,NO,NO,,,,,,,,,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",BULK FUEL,15/06/2020,113520,AUD,Caltex Aust Petroleum Pty Ltd,PO Box 794 Lytton QLD 4178,NO,NO,,,,,,,,,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",IT DESKTOP - SW/HW & SERVICES,12/06/2020,113393.13,AUD,Dassault Systemes Australia Pty Ltd,"Level 8, 190 St Georges Terrace Perth WA 6000",NO,NO,,,,,,,,,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",PROPERTY,27/06/2019,113149.3,AUD,VSM Aust Pty Ltd,175 Granite Street Geebung QLD 4034,YES,NO,,,,,,,,,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000","BUILDING & HYDRAULIC MAINTENANCE (RENOVATION & FITOUT, SIGNAGE, LOCKSMITHS)",25/03/2020,112000,AUD,Period Building Conservation Pty Lt,30 O'neill Road Stanley VIC 3747,NO,NO,,,,,,,,,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",FURNITURE,24/02/2020,111826,AUD,Five at Heart Pty Ltd,"Ground Floor, 1 O'Connell Street Sydney NSW 2000",NO,NO,,,,,,,,,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",ELECTRICAL COMPNENTS,8/03/2016,111772.32,AUD,DTI Group Ltd,31 Affleck Road Perth Airport WA 6065,YES,NO,,,,,,,,,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",COMMUN EQUIPMENT,23/12/2019,111745.7,AUD,SJP Access Pty Ltd,50-54 Sanctuary Drive Mount Cotton QLD 4165,NO,NO,,,,,,,,,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",HIRE-LEASE PLANT&EQP,5/03/2020,111290.3,AUD,Boom Logistics Qld Pty Ltd,184 Curtin Avenue Eagle Farm QLD 4009,NO,NO,,,,,,,,,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",RAILWAY EQUIPMENT,29/07/2019,111196.8,AUD,Coman Textiles Pty Ltd,PO Box 485 Springwood QLD 4127,NO,NO,,,,,,,,,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",OPSTRVTRAIN DEL,16/07/2019,110583,AUD,Progress Rail Services,24 Daisy Street Revesby NSW 2212,NO,NO,,,,,,,,,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000","BUILDING & HYDRAULIC MAINTENANCE (RENOVATION & FITOUT, SIGNAGE, LOCKSMITHS)",17/06/2020,110025,AUD,Barnes Construction & Joinery Pty L,17 Yarraman Street Arana Hills QLD 4054,NO,NO,,,,,,,,,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",PROFESSIONAL SERVICE,14/11/2019,110000,AUD,Visionstream Pty Ltd,PO Box L/BAG 3 East Bentleigh VIC 3165,NO,NO,,,,,,,,,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",ELECTRICAL COMPNENTS,6/02/2020,109364,AUD,Frauscher Sensor Technology,84 William Street Melbourne VIC 3000,NO,NO,,,,,,,,,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",PROFESSIONAL SERVICE,30/09/2019,109360,AUD,QLeave,PO Box 512 Lutwyche QLD 4030,NO,NO,,,,,,,,,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",CONSTR BLDING MATLS,20/05/2020,109303.7,AUD,ANZ Civil Products,11 Bayswater Court Sandstone Point QLD 4511,NO,NO,,,,,,,,,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",HIRE-LEASE PLANT&EQP,7/05/2020,109194.8,AUD,Atco Structures and,55 Tonka Street Luscombe QLD 4211,NO,NO,,,,,,,,,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",ELECT WIRE PWR EQUIP,23/04/2020,109120,AUD,KingHill,Unit 8-116 Campbell Parade Bondi Beach NSW 2016,NO,NO,,,,,,,,,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",ELECTRICAL COMPNENTS,1/10/2019,108900,AUD,FireSense,PO Box 7026 Baulkham Hills QLD 2153,NO,NO,,,,,,,,,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",RAILWAY EQUIPMENT,30/06/2020,108787.8,AUD,Australian Rail Technology Pty Ltd,10 Brennan Close Hornsby NSW 2077,NO,NO,,,,,,,,,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",RAILWAY EQUIPMENT,30/08/2019,108332.4,AUD,Delkor Rail Pty Ltd,PO Box CP217 Condell Park NSW 2200,NO,NO,,,,,,,,,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",PROFESSIONAL SERVICE,15/01/2020,107800,AUD,Speno Rail Maintenance Australia Pt,168 Campbell Street Belmont WA 6104,NO,NO,,,,,,,,,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",VEGETATION MNGMENT,29/01/2020,106150,AUD,Tropical Aqua Blasting Pty Ltd,55a Old Claire Road Ayr QLD 4807,NO,NO,,,,,,,,,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",VEGETATION MNGMENT,9/01/2020,105875,AUD,Redplay Pty Ltd,17 Vidar Crescent Ooralea QLD 4740,NO,NO,,,,,,,,,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",RAILWAY EQUIPMENT,11/05/2020,105837.6,AUD,Siemens Mobility Pty Ltd,885 Mountain Highway Bayswater VIC 3153,NO,NO,,,,,,,,,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",PROFESSIONAL SERVICE,11/11/2015,105835,AUD,Rubicor Technical Pty Ltd,370 Queen Street Brisbane QLD 4000,YES,NO,,,,,,,,,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",PROPERTY,17/09/2019,105600,AUD,Equifax Australia Information Servi,231 North Quay Brisbane George Street QLD 4003,NO,NO,,,,,,,,,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",PROFESSIONAL SERVICE,11/04/2019,105100,AUD,Vellacorp Painting Services,PO Box 1009 Manunda QLD 4870,YES,NO,,,,,,,,,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",SECURITY,9/03/2020,104834.4,AUD,Fencepac Commercial Pty Ltd,PO Box 1097 Kunda Park QLD 4556,NO,NO,,,,,,,,,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",CONSTR BLDING MATLS,23/09/2019,104710.96,AUD,Downer Pipetech Pty Ltd,49 Links Avenue North Eagle Farm QLD 4009,NO,NO,,,,,,,,,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",FIBRE OPTICS MATLS,13/02/2020,104508.55,AUD,Nextgen Networks Pty Ltd,236 East Boundary Road East Bentleigh VIC 3165,NO,NO,,,,,,,,,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",PROFESSIONAL SERVICE,15/11/2019,104500,AUD,Generator Hire Services,18 Bivouac Place Wacol QLD 4076,NO,NO,,,,,,,,,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",PROFESSIONAL SERVICE,31/01/2020,104500,AUD,QLeave,PO Box 512 Lutwyche QLD 4030,NO,NO,,,,,,,,,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",RAILWAY EQUIPMENT,20/04/2020,104011.27,AUD,BE & AM Gossner,305 Mailmans Road Gin Gin QLD 4671,NO,NO,,,,,,,,,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",HARDWARE CONSUMABLES,6/11/2019,103908.38,AUD,Bretts Pty Limited,142 Newmarket Road Windsor QLD 4030,NO,NO,,,,,,,,,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",SECURITY,9/04/2020,103184.4,AUD,Fencepac Commercial Pty Ltd,PO Box 1097 Kunda Park QLD 4556,NO,NO,,,,,,,,,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",ELECTRICAL CABLES AND CONDUCTORS,1/06/2015,102942,AUD,AFL Telecommunications Australia Pt,93-97 Merrindale Drive Croydon South VIC 3136,NO,NO,,,,,,,,,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",CONSTR BLDING MATLS,20/03/2020,102630,AUD,Hyforce Engineering Pty Ltd,100 Pearson Road Yatala QLD 4130,NO,NO,,,,,,,,,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",RAILWAY EQUIPMENT,25/03/2020,102389.76,AUD,FIP Brakes International,PO Box 6503 Wetherill Park NSW 2164,NO,NO,,,,,,,,,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",RAILWAY EQUIPMENT,23/10/2019,102203.2,AUD,Voith Turbo Pty Ltd,1-47 Percival Road Smithfield NSW 2164,NO,NO,,,,,,,,,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",LIGHT INDUSTRY MACH,18/12/2019,102102,AUD,Comsteel,PO Box 14 Waratah NSW 2298,NO,NO,,,,,,,,,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",SOFTWARE MAINTENANCE,7/08/2019,101648.61,AUD,Data #3 Limited,67 High Street Toowong QLD 4066,NO,NO,,,,,,,,,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",PROPERTY,8/04/2020,101522.18,AUD,Stockland Trust Management Limited,133 Castlereagh Street Sydney NSW 2000,NO,NO,,,,,,,,,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",PROPERTY,22/05/2020,101520.51,AUD,Stockland Trust Management Limited,133 Castlereagh Street Sydney NSW 2000,NO,NO,,,,,,,,,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",ELECTRICITY GENERAL,15/03/2018,101306,AUD,Generator Hire Service Pty Ltd,6 Shoebury Street Rocklea QLD 4106,YES,NO,,,,,,,,,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",RAILWAY EQUIPMENT,4/03/2020,101095.43,AUD,Voith Turbo Pty Ltd,1-47 Percival Road Smithfield NSW 2164,NO,NO,,,,,,,,,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",IT DESKTOP - SW/HW & SERVICES,1/07/2010,100792,AUD,Sapiens (UK) Limited,1 George Street Uxbridge Middlesex LO W42BX,NO,NO,,,,,,,,,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",RAILWAY EQUIPMENT,15/05/2020,100650,AUD,Bombardier Transportation,PO Box 618 Dandenong VIC 3175,NO,NO,,,,,,,,,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",CHEMS AND GASES,15/06/2020,100426.22,AUD,Flick Pest Control Services,41 Bunya Street Eagle Farm QLD 4009,NO,NO,,,,,,,,,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",OTHER DIRECT PROFESSIONAL SERVICES,7/05/2020,100000,AUD,Capricorn Survey Group (CQ) Pty Ltd,PO Box 1391 Rockhampton QLD 4700,NO,NO,,,,,,,,,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",PROFESSIONAL SERVICE,21/05/2018,99841.8,AUD,Powerlink Qld,PO Box 1193 Virginia QLD 4014,YES,NO,,,,,,,,,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",SERV PLANT & EQUIP,16/06/2016,99391.36,AUD,PlantMech Pty Ltd,14 Buttonwood Place Willawong QLD 4110,YES,NO,,,,,,,,,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",ENGINE ACCESSORIES,2/02/2018,99369,AUD,Sulzer Australia Pty Ltd,344 South Pine Road Brendale QLD 4500,YES,NO,,,,,,,,,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",RAILWAY EQUIPMENT,2/07/2019,99206.25,AUD,Wolf Hydraulics Pty Ltd,56/111 Leitchs Road Brendale QLD 4500,NO,NO,,,,,,,,,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",ELECTRICAL COMPNENTS,14/01/2020,99000,AUD,Haymans Electrical Pty Ltd,593 Boundary Road Archerfield QLD 4108,NO,NO,,,,,,,,,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",RAILWAY EQUIPMENT,12/05/2020,99000,AUD,Ultimate Australia Transportation,23 Carl Court Hallam VIC 3803,NO,NO,,,,,,,,,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",COMMUN EQUIPMENT,25/03/2020,98233.3,AUD,Technet Systems Pty Ltd,115 Robinson Road Geebung QLD 4034,NO,NO,,,,,,,,,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",CHEMS AND GASES,15/07/2010,98037.82,AUD,Elgas Payments,PO Box 2706 Sydney NSW 1123,YES,NO,,,,,,,,,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",RAILWAY EQUIPMENT,5/03/2020,98016.52,AUD,Penske Power Systems,196 Viking Drive Wacol QLD 4076,NO,NO,,,,,,,,,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",PROFESSIONAL SERVICE,6/09/2019,98002,AUD,QLeave,PO Box 512 Lutwyche QLD 4030,NO,NO,,,,,,,,,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000","ORES, MINERALS",16/03/2020,97130,AUD,Allroad Surfaces Pty Ltd,81 Dean Road Verrierdale QLD 4562,NO,NO,,,,,,,,,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",RAILWAY EQUIPMENT,26/11/2019,97097,AUD,Air Springs Supply Pty Ltd,PO Box 1087 Meadowbank NSW 2114,NO,NO,,,,,,,,,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000","BUILDING & HYDRAULIC MAINTENANCE (RENOVATION & FITOUT, SIGNAGE, LOCKSMITHS)",20/03/2020,97050,AUD,Bartlem Construction Services Pty L,1025 Ridgelands Road Alton Downs QLD 4702,NO,NO,,,,,,,,,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",RAILWAY EQUIPMENT,21/08/2019,96891.96,AUD,HI Fraser Pty Ltd,27a Stockdale Road O'Connor WA 6163,NO,NO,,,,,,,,,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",SERV PLANT & EQUIP,6/08/2019,96624,AUD,SkillsTech Australia,247 Bradman Street Acacia Ridge QLD 4110,NO,NO,,,,,,,,,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000","BUILDING & HYDRAULIC MAINTENANCE (RENOVATION & FITOUT, SIGNAGE, LOCKSMITHS)",9/03/2020,96398,AUD,Coops (Qld) Constructions Pty Ltd,PO Box 422 Oakey QLD 4401,NO,NO,,,,,,,,,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",SERV PLANT & EQUIP,14/05/2020,95500,AUD,Allclass Construction Equipment,PO Box 347 Mt Ommaney QLD 4074,NO,NO,,,,,,,,,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",SOFTWARE MAINTENANCE,4/12/2019,95481.34,AUD,Bentley System International,Upper Hatch Street Dublin DB DUBLIN 2,NO,NO,,,,,,,,,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",PROPERTY,20/02/2020,95475.26,AUD,Sure Power,4 Manilla Street East Brisbane QLD 4169,NO,NO,,,,,,,,,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",HIRE-LEASE PLANT&EQP,15/04/2020,95216,AUD,Jordan Rail Pty Ltd,PO Box 806 Sunbury VIC 3429,NO,NO,,,,,,,,,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",PROFESSIONAL SERVICE,16/07/2019,95150,AUD,CGI Technologies and Solutions,436 Elgor Road Box Hill VIC 3128,NO,NO,,,,,,,,,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",SERV PLANT & EQUIP,5/09/2017,95083.1,AUD,Singo's Trade Services Group,56 Woodbury Road Yeppoon QLD 4703,YES,NO,,,,,,,,,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",RAILWAY EQUIPMENT,12/09/2019,95040,AUD,Progress Rail Services,24 Daisy Street Revesby NSW 2212,NO,NO,,,,,,,,,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",LABOUR CONTRACTORS,8/10/2019,94928.96,AUD,Austact Civil Pty Ltd,PO Box 6021 Yatala QLD 4207,NO,NO,,,,,,,,,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",SERV PLANT & EQUIP,16/04/2020,94773.81,AUD,Linde Materials Handling Pty Ltd,64 Axis Place Larapinta QLD 4110,NO,NO,,,,,,,,,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",BEARINGS,3/12/2019,94545,AUD,NSK Australia Pty Ltd,100 Logis Boulevard Dandenong South VIC 3175,NO,NO,,,,,,,,,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",TRAINING SERVICES,25/02/2020,94077.5,AUD,Major Training Group,38 Prairie Road Ormeau QLD 4207,NO,NO,,,,,,,,,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",SERV INSPECT & TEST,3/03/2020,94050,AUD,Spoutvac Industries Pty Ltd,PO Box 6297 Bendigo East VIC 3550,NO,NO,,,,,,,,,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",IT DESKTOP - SW/HW & SERVICES,1/07/2019,93893.1,AUD,Miktysh Solutions,110 Mary Street Brisbane QLD 4000,NO,NO,,,,,,,,,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",NETWORK ACCESS,14/02/2020,93600,AUD,Aurizon Network Pty Ltd,PO Box 456 Brisbane QLD 4001,NO,NO,,,,,,,,,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000","BUILDING & HYDRAULIC MAINTENANCE (RENOVATION & FITOUT, SIGNAGE, LOCKSMITHS)",14/03/2020,93100,AUD,Sedl Earthmoving Pty Ltd,PO Box 823 Toowoomba QLD 4350,NO,NO,,,,,,,,,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",PROFESSIONAL SERVICE,15/03/2017,92900,AUD,Architectus Brisbane Pty Ltd,79 Adelaide Street Brisbane QLD 4000,YES,NO,,,,,,,,,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",PROFESSIONAL SERVICE,15/10/2019,91921.5,AUD,Hudson Global Resources (Aust),20 Bond Street Sydney NSW 2000,NO,NO,,,,,,,,,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",BULK FUEL,25/07/2019,91640.47,AUD,Caltex Aust Petroleum Pty Ltd,PO Box 794 Lytton QLD 4178,NO,NO,,,,,,,,,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",PROFESSIONAL SERVICE,19/07/2019,91601.4,AUD,NTT Australia Digital Pty Ltd,271 Collins Street Melbourne VIC 3000,NO,NO,,,,,,,,,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",FIRE SAF & ENV EQUIP,6/08/2019,91536.5,AUD,EKV Plumbing Pty Ltd,PO Box 8189 Wynnum QLD 4178,NO,NO,,,,,,,,,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000","BUILDING & HYDRAULIC MAINTENANCE (RENOVATION & FITOUT, SIGNAGE, LOCKSMITHS)",26/02/2020,91516,AUD,X-Position Pty Ltd,69 Mark Anthony Drive Dandenong VIC 3175,NO,NO,,,,,,,,,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",RAILWAY EQUIPMENT,24/07/2019,90745.6,AUD,Steelrod Pty Ltd,PO Box 442 Narangba QLD 4504,NO,NO,,,,,,,,,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",RAILWAY EQUIPMENT,12/08/2019,90549.8,AUD,Boundary Creek Timber & Transport,33600 Bruce Highway Gin Gin QLD 4671,NO,NO,,,,,,,,,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",ADVERTISING & GRAP,13/08/2019,90293.01,AUD,Transitgraphics,PO Box 146 Dickson ACT 2602,NO,NO,,,,,,,,,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",PROFESSIONAL SERVICE,21/11/2019,90247.5,AUD,ENSCO Rail Australia Pty Ltd,3110 Fairview Park Drive Falls Church VA 22042,NO,NO,,,,,,,,,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",CONSTR BLDING MATLS,9/04/2020,90220.97,AUD,VSM Aust Pty Ltd,175 Granite Street Geebung QLD 4034,NO,NO,,,,,,,,,,,,,
