Agency (Dept or Stat Body),Agency address,Contract description/name,Award contract date,Contract value,Currency,Supplier name,Supplier address,Variation to contract (Yes/No),Specific confidentiality provision used,Procurement method,Form of contract,Number of offers sought,Evaluation criteria and weightings,Deliverables,Contract milestones,Contract performance management,Contract reference number,Contract category group,Parent contract number/SOA,Commence date,Supplier ABN,Finish date
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",SERV PLANT & EQUIP,12/07/2019,11432.39,AUD,Track Protection Services Pty Ltd,PO Box 421 Mapleton QLD 4560,NO,NO,,,,,,,,,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",CONSTR BLDING MATLS,13/08/2019,11424.6,AUD,Watkins Steel Pty Ltd,106 Depot Street Banyo QLD 4014,NO,NO,,,,,,,,,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",RAILWAY EQUIPMENT,13/02/2020,11418.88,AUD,Ecospill Pty Ltd,PO Box 5592 Brendale QLD 4500,NO,NO,,,,,,,,,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",RAILWAY EQUIPMENT,21/08/2019,11418,AUD,Gayrad,594 Old Gympie Road Narangba QLD 4504,NO,NO,,,,,,,,,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",RAILWAY EQUIPMENT,11/09/2019,11418,AUD,Gayrad,594 Old Gympie Road Narangba QLD 4504,NO,NO,,,,,,,,,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",TRACTORS,3/01/2020,11392,AUD,Motion Parts Solutions,PO Box 2027 Oak Park VIC 3046,NO,NO,,,,,,,,,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",RAILWAY EQUIPMENT,30/10/2019,11385.22,AUD,Railtech Australia Ltd,52 Lysaght Street Acacia Ridge QLD 4110,NO,NO,,,,,,,,,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",RAILWAY EQUIPMENT,17/10/2019,11378.55,AUD,Penske Power Systems,196 Viking Drive Wacol QLD 4076,NO,NO,,,,,,,,,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",AGRICULTURAL SUPP,10/07/2019,11340.45,AUD,Origin Fencing Pty Ltd,PO Box 7157 Hemmant QLD 4174,NO,NO,,,,,,,,,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",ELECTRICAL COMPNENTS,4/06/2020,11338.11,AUD,Penske Power Systems,196 Viking Drive Wacol QLD 4076,NO,NO,,,,,,,,,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",CONSTR BLDING MATLS,21/10/2019,11333.85,AUD,Boral Construction Materials,147 Coronation Drive Milton QLD 4064,NO,NO,,,,,,,,,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",RAILWAY EQUIPMENT,9/10/2019,11330,AUD,Bombardier Transportation,PO Box 618 Dandenong VIC 3175,NO,NO,,,,,,,,,,,,,
Queensland Rail,"Floor 14. RC1 305 Edward Street, Brisbane, Qld, 4000",ALARM SIGNAL SEC SYS,15/10/2019,11322.43,AUD,Enersys Australia Pty Ltd,46 Egerton Street Silverwater QLD 2128,NO,NO,,,,,,,,,,,,,
